gene,Erastin AUC to expression,RSL3 AUC to expression,FIN56 AUC to expression,Erastin AUC to Depscore,RSL3 AUC to Depscore,FIN56 AUC to Depscore
MOBP,0.8022982425605403,0.8370313860152178,0.6159090265708222,-0.5628451840509112,-0.5726060722617698,-0.33358296136881144
CX3CR1,2.2370099776977266e-4,0.34895335004873057,0.316572079564682,-0.5730927659119267,-0.49803812035286477,-0.23954097346982992
PPDPFL,-0.44557254503425575,-0.41098365148753535,-0.18377278827950816,0.585583972725499,0.3415526480940278,0.3947997222039268
XIRP1,-0.31270287899852706,-0.08022811019182223,0.05001197930077795,0.1018413622468723,0.2158684165544061,0.062097077752206874
INSM2,0.3754332671470797,0.32560459332206515,0.20424242350143837,0.2565073839712499,-0.029309223164836924,-0.14601506679275617
DEGS2,0.7474498127846324,0.761492652443815,0.5746683917811245,-0.08479981995497994,-0.23531666524373088,-0.31436385727611005
SCN11A,-0.4275316836954737,-0.4527887924804199,-0.29328061022289137,-0.2725254035121704,-0.198217472545562,0.08200755618095984
ARF4,-0.2772573509843019,-0.5030811124421256,-0.38810522470367237,0.4937366925822375,0.6520574182274943,0.6973461912916489
SEPTIN2,-0.20013306762502048,-0.29039789651633585,-0.3264645144365674,NA,NA,NA
FILIP1L,0.25913584186817556,-0.05086538546295916,-0.28395779188205006,0.488218459762165,0.6189909321760145,0.7459612484020262
MFSD2A,0.01033285652955538,0.12649447892597185,0.09472164947302772,-0.14503892362175988,-0.2092300632872613,-0.3757051268214507
DTYMK,0.008656382909528682,-0.15478328317608017,-0.2639831629273662,-0.16553725106058081,-0.23293613441672328,-0.2875094971195599
TAP1,-0.5222904348484206,-0.38791450835673513,-0.3292512416923448,-0.6082176623383879,-0.43733301058153884,-0.2353061310731763
ING5,-0.05078580940943703,0.06605476118338842,-0.11474239315500634,-0.15163352210632858,0.1715246088167144,0.2529238109689483
ATG4B,0.27327585998920556,0.3600489505805901,0.3593112533735749,0.09277871212213507,0.46925624145060124,0.2922693485892283
BDKRB2,-0.36599356421460316,0.024373270866540567,0.11630177757910116,0.3140714069829449,0.337435241217084,0.40787463369902677
MLKL,-0.12585764982846015,0.04562139569380267,-0.04696902053908723,0.25739500973848173,0.47333219903314,0.7067167731495619
RFWD3,-0.09273853327687853,-0.28829389355858637,-0.29931338921588563,0.08800818265477464,0.4863399809788047,0.6959755150219696
MTNR1A,-0.43289367609348367,-0.27630634103697405,-0.0469596122089057,0.22372634590777443,0.30285556630132704,0.13764943895487783
KCNG4,-0.47841077690148043,-0.02688377822848913,-0.014123779400679524,0.14277432382480476,0.1462407430429738,0.15666453261978855
RHOH,0.6879311662544512,0.7533040058560473,0.46631214880531874,-0.38159040228793256,-0.4837919705858336,-0.4230227857760774
KLHL30,-0.24571441211214642,-0.26481500126831603,-0.18578446365090892,0.09357004342938978,0.18199158363010642,0.06385113019917264
COG7,0.3072790927669436,0.44064868937096235,0.34344923902431357,-0.17447672079036516,0.12001815844528982,0.2587098782727595
CDC40,-0.28878765368312787,-0.2022515208616144,-0.06644511512021972,-0.4259133231159626,-0.36260616823317166,-0.033262128403171096
STIP1,-0.17016790701114018,0.14046445254920492,0.1584733524257512,-0.08108663747547604,-0.4229362426388803,-0.7206818619212181
SCNN1B,0.17999436886325623,0.19535451731654832,0.11780477821744123,0.04892372081220858,0.16573027015464353,0.30400495458877824
HR,0.39431374456853163,0.39963674121533393,0.3710007165387317,0.5240707046238561,0.17597760485171826,0.05914097846571093
TXNDC2,-0.22118570932521833,-0.18097231292933058,0.01004129883421072,0.2646162751696473,0.15223510099827192,0.19689760435987103
RAB31,-0.5225102481352915,-0.5544307308430951,-0.48188544182573395,-0.18889240457947992,-0.3376309424039443,-0.19358195609003606
REEP4,0.09855528861448795,-0.11391372682721114,-0.027003606231097127,-0.026467054532214245,-0.02694405582953239,-0.11890811250273066
TNXB,0.06732461092694342,-0.08845607714613037,-0.1964350853143331,-0.43878047379974716,0.02614473737977256,0.2170483061293611
LGI3,0.0667767548861831,0.2172431083093873,0.22118581342543805,-0.2142314841463773,-0.39238253843791576,-0.0896826470947282
SFTPC,0.41030643143189915,0.318547910827436,0.2869112250346898,-0.40388423227912873,-0.4748534131975925,-0.4637846362775479
BMP1,-0.7039398485518544,-0.7274479942122426,-0.5001005109725338,-0.21193649905035905,-0.2854030869073836,-0.24962983151587737
ATXN2L,-0.2985096902139056,0.03207618201733322,0.10348430254611359,-0.3238757890369791,-0.6715397759834137,-0.3949335795561153
PHYHIP,-0.36127882190831145,-0.5326207287669633,-0.35283761902790944,-0.04898039994205709,-0.05083447629021966,0.09590550990501871
CCDC110,-0.022406495413672654,0.264387061827313,0.2196398873104061,-0.21709086977584588,-0.5684711287738963,-0.7822176890264125
POLR3D,-0.5251479423514219,-0.47467929394678027,-0.26904478868838383,-0.26416703841389944,-0.5614626197383287,-0.26983390144791614
FEN1,0.12057284853477189,0.2766135618511077,0.19417245019515886,0.3876311308728256,0.3043495796629491,0.24913810574817108
CAVIN2,-0.4215310882058351,-0.6819183000907778,-0.7580996784741071,0.44366266590994113,0.2726033202876842,-0.0029177071149884
MTCL1,-0.45827805269231575,-0.5827950141357329,-0.3948889147552624,0.37010047995279854,0.4082509411507834,0.20062441812794565
GBX2,-0.25941087752046166,-0.15821377443974208,-0.061215194979540866,-0.16534757448817625,0.27237696256193245,0.1458940387120652
HJV,-0.1408191361783255,0.3154883773070345,0.2129542075925307,-0.5746760945919491,-0.43138480834860166,-0.307628851082032
HEXIM2,0.36713976183994634,0.40447078861526525,0.27015531783102664,0.7030201453243116,0.4356691782419324,0.2673676631441361
FNTA,-0.3579548919653297,-0.30953186635088514,-0.11290215178547443,0.4263665982288991,0.34792694251378364,0.6069416242014336
SERINC2,0.4950811031162482,0.33402099705180205,0.08532254321051419,-0.002613557928413285,-0.2676661267250696,-0.22270319296609933
MYL1,-0.1758441734209221,-0.5091178564569716,-0.7812606144040265,-0.1234962141188942,0.07657862807160577,0.18414601616415155
TRAPPC11,-0.31424936140488485,-0.35988229422724966,-0.3081538930095779,-0.21624371589129027,-0.3096719760146526,-0.6417895087543899
CHRM1,0.36136327587920186,0.5598274370055504,0.4367228673185433,-0.3591899401530604,-0.3232266642659298,-0.22617249507143194
COL3A1,-0.3541595050370428,-0.3240861005525002,-0.0959867204885948,-0.1624821705182459,0.14992248814476972,0.03471976719190493
GFRA2,0.2058166261334408,0.3293784756262007,0.23208399052107345,-0.47446146684980856,-0.36483331774389444,-0.17289048641080093
ING2,-0.25762430887296034,-0.3292329802004643,-0.26894020829807,0.22842305724572448,0.10077726132097427,-0.10137480694298534
CDKN2AIP,-0.21513954133028373,-0.2440574485366767,-0.254969103414925,-0.1850493957433924,-0.11708439643371792,-0.08987304431684914
SNRNP48,-0.7192303695960525,-0.6520840963674776,-0.45844657771714076,0.38963886302097633,0.004788741453549189,-0.1617233789895315
TMEM223,0.351885140567547,0.5169597999541641,0.35014789901635296,-0.23492338940257598,-0.15206881395630742,0.025034384650148876
SLC20A2,0.002637645363355026,-0.0903437413389236,0.19394551329302245,-0.4107025976276813,-0.48799669400150203,-0.18021798071774406
DYNLRB2,0.5771016847802615,0.3375298291575963,0.16035546862142144,0.6466186523791713,0.7635513572491772,0.6483320041491553
TMUB2,-0.20376693417091388,-0.36248378974919915,-0.3965803903085302,0.4077786266411581,0.6856548228518999,0.5843675768425756
ADAM29,0.3864990366796411,0.23012596161613152,0.061815238052479946,-0.49314042782355155,-0.44648066380858786,-0.5781282646210297
STAT3,-0.4390566033438891,-0.2018172349386124,-0.07542480082404972,-0.09250820179424513,-0.49568897731463474,-0.5667269273296999
ZSWIM1,0.6399472073394351,0.4371858614252517,0.32887530224357087,0.09072869708925078,-0.32164806580037253,-0.03282044683231907
ADAM9,-0.4149158683192561,-0.571534580106325,-0.4813982217400155,-0.29447564380279306,-0.41931003828733127,-0.3943204958949469
ADAM18,0.35417845163730893,0.22657477514714244,0.23305593476977213,-0.028370353016269466,0.21903626426636452,0.39898269859965263
GDNF,-0.3428773135869095,-0.32904371005707705,-0.09931697084680952,0.48085979019548875,0.07399502406754017,-0.2846022354161476
MUCL3,-0.22314653637579376,-0.4009150406832799,-0.6336735829623026,0.1508405529035506,0.43106785078108273,0.25217807360927214
WFDC13,0.4345086547226144,0.1350044706920232,-0.031228658628584652,-0.3336467481313078,-0.23121071549716735,-0.37092357539379406
AXIN2,-0.5237859569096078,-0.4324450027432502,-0.2555081896733218,-0.2994226422983794,-0.39427795011976624,-0.4521145838170135
NDUFS5,-0.4009463185504726,-0.010770708295237423,0.012304967274311521,-0.5152668641192806,-0.3991854875864264,-0.36681935018818157
VWA3B,0.23544890797207776,0.32975347652879416,0.31772999152229486,0.37231415074055235,0.6290592634462512,0.7474351048054557
ZNF30,0.08050643251684868,-0.07165883848684758,-0.046434693457306477,-0.46715652392580864,-0.6148974538523581,-0.26365882704441185
UGT3A2,0.25857861046085906,0.34251984923690465,0.18220079817590254,0.4914373797651948,0.47013826594558766,0.10925030443098292
LRATD2,0.7224372153104489,0.6029251122235103,0.4795716148892387,NA,NA,NA
LDLRAD4,0.6179861506482819,0.7104624166040009,0.5670647356213818,-0.22364309037980112,-0.13661168992052317,-0.12089265646276799
KCTD19,-0.37205350179799607,-0.34225112202305147,-0.3065471048706804,-0.17912916335417906,-0.12780891354261045,-0.07391352198282654
SLC16A4,0.13220160664723282,0.053143464342718674,0.02488354515706618,0.08595458731988767,-0.17406403079503005,-0.15139020712824702
IL7R,-0.7776743129298744,-0.6109954260982952,-0.3708644126962296,0.1745087209726565,-0.0724954016581739,-0.15004823439108875
TMEM208,0.11708754769578365,-0.06561059560618682,0.026447571487429797,-5.327476353185761e-4,-0.2091280478855609,0.015839224774576055
LRP1B,0.2787323920773184,0.13657371706992835,0.20541401162516906,-0.37480757923685926,-0.04807626714569578,-0.07617380383208999
WFDC12,-0.01141719606419154,-0.041057833871968756,0.1718182425778711,0.7870013694340622,0.6099013481931626,0.4666553390790019
AHCYL1,-0.1601456543988803,-0.2277677893863282,-0.15322185361395868,-0.18366383028448816,-0.47644839027299557,-0.20500031459274273
DNAJC21,-0.5355849525092143,-0.49995254431373004,-0.35263956333005675,-0.014371132979140878,0.22005638266378025,0.16231529862390895
PKIG,-0.4406559890763106,-0.5029127054102003,-0.4476465245725783,-0.34084558658938885,-0.2987654525707799,-0.20281513058544748
NPNT,0.6568529484145135,0.6770387393523173,0.602482511584366,-0.2769457080563487,-0.4161158653195928,-0.43281269370549325
CA7,-0.34440779726596615,-0.3258681489116789,-0.3108559630882245,0.08259416128810564,0.32611369059693956,0.3884727444261572
FAM178B,0.48918097354855083,0.4802243549162545,0.35270425598556115,-0.2996109562888953,0.10056031360207272,0.3108941226452498
TSPY2,0.2596114312304222,0.15292728884557744,0.18443951727243896,NA,NA,NA
SEMA4C,0.3394557179732162,0.29818941690567163,0.20482641556203335,-0.28710943222092045,-0.009626989819888906,0.2250570186230069
CNNM3,0.3926495544564244,0.5286571820354419,0.4187388833571473,-0.5048076483997194,-0.3353037417682667,-0.13606778686140608
GSTM4,-0.15345259089506952,-0.005034033144230762,-0.16331626362086044,0.22763130762312406,0.035947683203222815,-0.2998720264634015
